Symbol,現價,DPI,5D_DPI,Edge,防禦價,位階,戰術,板塊
RWO,44.71,21.48,94.84,-12.52,39.0,反彈,⏳ 觀望,指數基金
RWR,107.9,69.15,61.46,-13.53,110.0,反彈,⏳ 觀望,指數基金
RXO,19.42,67.76,70.54,-68.74,17.5,牛勢,⏳ 觀望,工業
RY,176.6,59.37,69.28,-14.59,155.0,逆轉,⏳ 觀望,金融
RYAN,34.76,51.76,66.27,-35.76,35.0,逆轉,⏳ 觀望,金融
RYN,21.4,73.61,68.45,-25.65,20.0,逆轉,⏳ 觀望,房地產
RYTM,83.7,64.56,56.27,-52.74,80.0,逆轉,⏳ 觀望,醫療
SAFT,76.43,63.35,0.0,-19.31,75.0,反彈,⏳ 觀望,金融
SAIA,444.21,60.39,54.19,-47.37,360.0,牛勢,⏳ 觀望,工業
SAIC,93.8,79.31,70.65,-39.17,85.0,逆轉,⏳ 觀望,科技
SAM,240.45,70.87,75.47,-33.84,250.0,逆轉,⏳ 觀望,Consumer Defensive
SAN,12.1,79.65,68.4,-31.61,9.0,逆轉,⏳ 觀望,金融
SANM,215.5,61.64,62.1,-63.07,125.0,牛勢,⏳ 觀望,科技
SAPH,0.0,88.16,0.0,-32.11,21.0,反彈,⏳ 觀望,指數基金
SBAC,215.12,60.28,45.31,-30.88,200.0,牛勢,⏳ 觀望,Real Estate
SBIO,55.79,45.4,95.69,-29.71,55.0,逆轉,⏳ 觀望,指數基金
SBRA,20.28,70.02,65.06,-19.77,17.5,逆轉,⏳ 觀望,房地產
SCHB,27.6,59.66,62.99,-12.5,25.0,逆轉,⏳ 觀望,指數基金
SCHD,31.13,73.39,66.19,-11.32,30.0,反彈,⏳ 觀望,指數基金
SCHF,26.27,61.84,58.91,-14.63,25.0,反彈,⏳ 觀望,指數基金
SCHH,22.97,65.73,65.28,-13.2,20.0,逆轉,⏳ 觀望,指數基金
SCHI,22.82,79.91,64.95,-4.03,23.0,止跌回升,⏳ 觀望,指數基金
SCHJ,24.85,63.64,78.78,-1.56,20.0,止跌回升,⏳ 觀望,指數基金
SCHK,34.43,61.33,61.31,-12.49,31.0,逆轉,⏳ 觀望,指數基金
SCHL,40.73,74.45,61.51,-43.92,30.0,牛勢,⏳ 觀望,通訊
SCHM,33.76,60.74,53.01,-15.76,29.0,逆轉,⏳ 觀望,指數基金
SCHO,24.28,63.79,66.25,-1.13,22.0,止跌回升,⏳ 觀望,指數基金
SCHR,24.9,70.11,68.68,-3.48,16.0,止跌回升,⏳ 觀望,指數基金
SCHX,28.17,62.76,65.36,-12.46,25.0,逆轉,⏳ 觀望,指數基金
SCHY,32.14,57.73,67.33,-11.2,29.0,反彈,⏳ 觀望,指數基金
SCI,86.29,84.59,76.88,-20.56,77.5,逆轉,⏳ 觀望,消費
