,,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,Directional Indicators,Directional Indicators,Directional Indicators,Directional Indicators,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators
isWatchlisted,Symbol,Current Price,Previous Close,Stock Volume,52 Week High,52 Week Low,Earnings Date,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Options Impact,Call Gamma,Put Gamma,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5 day DPI,5d % DPI Volume
,CHKP,138.07,134.53,275188,233.78,130.93,04-30 5:00 PM,140,160,75,160,120,8.756213319586337,'-1470912,'-1183189,0.6147,8.5494,2026-05-16,2026-10-17,356,346,0.9747,0.9653,0.6638,0.9719,1.2432,'-1.0126,'-0.02609791,'-0.02536164,0.4293,0.5323,1,0.4714,0.3896,4.5199974121,63.61,0.5342,0.68256,0.54986
,CHMI,2.57,2.6,32612,3.31,2.17,,2.5,2.5,5,2.5,7.5,0,'-191909,'-9330,0.0021,0.0021,2026-06-19,2026-06-19,0,0,,,0.0688,,20.569,'-16.6469,0.97275139,1.24088608,0.3555,0.79,0.3496,0.0945,0.672,0.1296471628,29.909999999999997,4.3541,0.3091,44.2847
,CHPS,72.05,72.54,22894,72.81,25.93,,68,52,39,70,38,,'-2975,'-410,0.2984,0.2358,2026-10-17,2026-10-17,4,0,0.75,,0.0741,0,7.2561,'-49.6144,,,0.4794,0,0.5345,0.4303,0.2857,0,42.53,82.3525,,
,CHPT,6.785,6.89,191647,17.78,4.44,,7,6,1,8,5,29.033488007863323,'-772889,'-393337,0.0872,0.1691,2026-05-16,2027-01-16,356,195,0.1461,0.2308,0.2761,0.5478,1.965,'-1.4,'-0.00751785,0.05153875,0.8019,0.8091,0.0769,0.1545,0.834,0.3518714259,58.77,0.5366,0.45026,0.45099999999999996
,CHRD,137.65,135.3,204622,148.42,84.25,05-06 4:05 AM,145,145,50,145,85,3.2374703113376873,'-962576,'-307676,0.2752,0.1299,2026-06-19,2026-06-19,92,27,0.2935,0.037,0.7045,0.2935,3.1285,'-4.7237,'-0.05092984,'-0.06738895,0.55,0.4615,0.6899,0.4064,0.6639,3.9412327211,76.66,9.1296,0.8006,2.22894
,CHRW,188.43,183.01,430709,203.34,86.58,04-30 4:05 AM,185,135,50,185,175,6.15167407059044,'-4167382,'-1392993,0.4693,0.2155,2026-05-16,2027-01-16,67,7,0.2537,0.4286,0.4148,0.1045,2.9917,'-9.9826,'-0.05715353,'-0.0671406,0.3954,0.5064,0.906,0.1073,0.5878,5.8496663511,61.31999999999999,0.5053,0.6234200000000001,0.52212
,CHT,43.48,43.09,43873,47.03,38.95,,40,25,25,25,40,0,0,'-11384,0.5537,0.2918,2026-05-16,2026-12-19,0,0,,,,,0,0,1.25601926,1.06266273,0.0994,0.5761,0.5274,0.024,0.9378,1.5668843653,52.35999999999999,11.4551,,
,CHTR,174.53,180.13,5758103,437.06,178,,180,100,200,230,200,13.208052934894019,'-4832313,'-7076537,0.1674,0.0849,2026-06-19,2028-01-22,16276,13685,0.2762,0.2317,0.7737,0.8408,0.6829,'-0.5209,0.11807413,'-0.03296703,1.1025,0.4732,0.4386,0.6197,0.424,5.3801373477,69.8,0.448,0.7294600000000001,0.45804
,CHWY,25.3,26.02,2144523,48.62,22.74,,27.5,30,25,30,25,26.97788677058822,'-17389048,'-7364476,0.2712,0.8259,2026-05-16,2026-05-02,7770,2407,0.5337,0.6963,0.4394,0.3098,2.3612,'-1.1368,0.05201588,0.04742925,0.4462,0.5018,0.4161,0.3496,0.896,0.8241391151,48.699999999999996,0.4485,0.51398,0.4422999999999999
,CHYM,22.085,22.54,601010,44.94,16.17,05-07 4:05 AM,22.5,30,5,30,15,18.538361568642312,'-5035417,'-1757752,0.1649,0.1044,2026-06-19,2028-01-22,407,55,0.086,0.6182,0.4066,0.1351,2.8647,'-3.338,'-0.06971967,'-0.06965361,0.5798,0.7968,0.3893,0.5336,0.1818,1.1336156031,23.119999999999997,0.3611,0.3031,0.3735
,CI,281,275.66,669199,350,239.51,04-30 6:00 PM,280,180,140,260,230,21.623807565984322,'-9735391,'-6911986,0.2766,0.0174,2026-05-02,2027-01-16,444,1010,0.3266,0.1149,0.5646,2.2748,1.4085,'-2.8608,'-0.10365059,'-0.07182182,0.2795,0.3996,0.8988,0.0254,0.472,6.9528331755,34.089999999999996,0.5038,0.37566,0.48313999999999996
,CIB,69.7,71.53,80297,86.31,39.89,,72.5,65,30,65,72.5,7.2811272668468145,'-270371,'-155524,0.2701,0.0967,2026-06-19,2026-06-19,330,9,0.0091,0.2222,0.3953,0.0273,1.7385,'-3.1626,'-0.21973444,'-0.13269666,0.3397,0.3979,0.6397,0.2864,0.4897,1.7964897431,60.12,0.5232,0.5574,6.14126
,CIBR,67.62,67.23,498446,78.34,60.07,,65,65,45,68,60,,'-1569973,'-720728,0.4809,0.383,2026-05-16,2026-08-22,173,14,0.1561,0.8571,0.4508,0.0809,2.1783,'-2.5694,'-0.17792869,'-0.13696255,0.371,0.2884,0.7411,0.5947,0.2939,1.2238295777,45.47,6.9611,0.50452,3.71656
,CIEN,504.55,520.79,592192,527.86,62.42,,480,510,32.5,550,472.5,15.126879332805073,'-3167391,'-3058075,0.4103,0.0371,2026-05-02,2026-06-19,3184,10998,0.6809,0.7408,0.9828,3.4541,1.0357,'-4.3052,'-0.06495553,'-0.0001168,0.8282,0.8562,0.756,0.1017,0.824,28.1449471691,43.24,0.4677,0.39532,0.49394
,CIFG,9.29,9.94,47419,16.08,4.2,,10,5,2,16,12,,'-951,'-38498,0.9765,1.0023,2026-05-16,2026-10-17,3,1,0.3333,1,18.2083,0.3333,0.0247,'-0.068,0.48878248,'-0.79715141,1.9622,2.2046,0.6,0.3168,0.1964,1.3831802058,52.05,19.7168,0.49687499999999996,0.8445
,CIFR,18.19,18.19,13516529,25.52,2.77,05-05 7:00 PM,18,20,12,20,18.5,36.98279893209774,'-56950051,'-27276244,0.2432,0.0059,2026-05-02,2027-01-16,82742,26131,0.272,0.5873,0.4872,0.3158,2.0879,'-4.2675,0.04249839,0.02838954,1.0298,1.1624,0.3247,0.1302,0.512,1.3345992552,44.1,0.4851,0.49278000000000005,0.5032599999999999
,CIFU,22.2,22.72,160075,49.89,9.99,,24,28,2,28,20,,'-15080,'-13714,0.5811,0.0374,2026-05-16,2026-06-19,4,38,0.5,1,0.8283,9.5,1.0996,'-3.2478,'-0.9435796,'-0.9412381,2.0652,2.2906,0.6891,0.2468,0.5526,3.2848849334,54.02,0.6934,0.5581600000000001,0.58506
,CIG,2.55,2.59,3288972,2.76,1.75,,2.5,2.5,1,2.5,2,0,'-1023630,'-162586,0.1607,0.067,2026-06-19,2026-06-19,305,0,0.8721,,0.4255,0,6.2959,'-18.2306,0.79437932,0.69540317,0.2687,0.6635,0.553,0.1875,0.9793,0.1084684088,59.18,0.537,0.5962799999999999,5.57916
,CIGI,109.48,108.96,49836,171.51,95.66,,105,90,60,145,105,6.84832126886919,'-23246,'-63258,0.6672,0.1109,2026-05-16,2026-06-19,9,0,0.4444,,1.1094,0,0.3675,'-0.1851,0.01479113,0.01921845,0.3264,0.4683,0.9671,0.1564,0.4774,3.2207263776,71.83,3.7881,0.784,4.8171
,CIM,13.69,13.57,163063,14.88,11.48,05-07 6:45 PM,13,13,6,14,12,56.424259489308795,'-3473476,'-1366549,0.2945,0.2822,2026-06-19,2026-06-19,19,11,0.6842,0,0.8019,0.5789,2.5418,'-3.565,'-0.19365559,'-0.17968254,0.2541,0.315,0.5183,0.2876,0.4385,0.2698068548,50.1,0.3881,0.45652,4.82038
,CINF,163,164.55,175430,174.27,132.14,04-28 4:05 AM,165,165,85,165,130,6.82327858867178,'-1371331,'-137500,0.4423,0.3745,2026-05-16,2026-05-16,10,35,0.7,0.8857,0.2302,3.5,9.9733,'-11.245,'-0.16498559,'-0.15775602,0.1988,0.2656,0.6215,0.195,0.2967,2.7585987502,76.55,0.451,0.78006,0.4614999999999999
,CION,7.495,7.49,122125,10.93,6.5,05-07 8:00 PM,7.5,7.5,5,7.5,5,,'-146110,'-37386,0.1112,0.1581,2026-09-19,2026-09-19,2,0,0,,0.2426,0,3.9081,'-2.2876,'-1.34011091,'-1.33995888,0.3411,0.2918,0.1435,0.4723,0.1867,0.1379525342,54.59,8.9175,0.54442,10.93142
,CIVB,24.94,24.93,27419,25.59,18.95,,25,25,15,25,20,,'-9636,'-253,0.1837,0.0506,2026-08-22,2026-08-22,2,0,1,,0.0952,0,38.087,'-42.2179,'-0.93794457,'-0.77721002,0.2393,0.3914,0.0918,0.1321,0.17,0.6158935808,53.28000000000001,0.2426,,
,CL,84.15,84.64,1877028,99.33,74.55,05-01 6:55 PM,90,100,80,90,80,22.03370854625465,'-14191086,'-13734200,0.0354,0.0073,2026-05-16,2027-01-16,8339,1397,0.0544,0.4624,0.9565,0.1675,1.0333,'-0.8899,'-0.11067636,'-0.06345651,0.2387,0.2679,0.728,0.6241,0.548,1.4312349934,61.019999999999996,0.4388,0.5211599999999998,0.43326000000000003
,CLB,17.29,17.47,153478,20.36,9.72,04-30 5:15 AM,17.5,17.5,5,17.5,10,10.258842385649617,'-120476,'-8915,0.3392,0.23,2026-06-19,2026-06-19,26,3,0.6923,1,0.116,0.1154,13.5139,'-16.7952,'-0.0987066,'-0.09295098,0.4952,0.7079,0.5576,0.0553,0.5708,0.7805979297,42.1,4.377,0.64466,4.88058
,CLBK,18.52,18.18,40276,18.87,13.32,,17.5,30,5,30,17.5,4.9616882321527855,'-3144,'-40839,0.9123,0.3751,2026-05-16,2026-10-17,0,1,,1,14.8462,,0.077,'-0.1838,0.61164764,0.21443421,0.1795,0.3367,0.1508,0.0646,0.4691,0.3863665972,77.62,4.4313,0.8298,0.2931
,CLBT,12.645,12.69,650442,20.53,11.02,05-14 7:00 PM,12.5,15,5,15,12.5,13.12081198561827,'-1655237,'-463198,0.5113,0.4189,2026-05-16,2026-05-16,104,119,0.2308,0.0504,0.2753,1.1442,3.5735,'-2.607,'-0.04404946,'-0.02115828,0.7134,0.7373,0.74,0.1905,0.5228,0.5905659913,15.079999999999998,3.6732,0.33092,2.46898
,CLDX,33.63,33.3,202589,35.79,17.85,,35,23,15,35,32,1.0916834195264085,'-217553,'-133972,0.6757,0.3923,2026-05-16,2026-05-16,21,3,0,0,0.7698,0.1429,1.6239,'-2.8362,0.48869088,0.30053333,0.4238,0.375,0.009,0.1059,0.896,0.7882029919,39.739999999999995,5.0716,0.41594,5.28102
,CLF,10.67,9.76,8874538,16.7,5.63,,10,10,8,10,8,30.163597757318126,'-42233704,'-23274612,0.1903,0.1151,2026-05-16,2026-05-16,63890,27638,0.2321,0.3303,0.5307,0.4326,1.8146,'-2.036,'-0.01389101,'-0.03551046,0.5283,0.6308,0.4225,0.2595,0.384,0.3886011488,32.82,0.4959,0.35354,0.5061199999999999
,CLFD,29.23,30.12,45523,46.76,23.76,05-07 4:00 AM,30,35,17.5,35,30,22.443767928848956,'-127897,'-233164,0.744,2.853,2026-05-16,2026-09-19,39,1189,0.2564,0.9462,1.5125,30.4872,0.5485,'-0.7758,'-0.29984452,'-0.24485097,0.4227,0.7817,0.9297,0.103,0.1852,1.4861329294,58.01,12.929,0.6555,0.3294
,CLH,307.26,308.99,125915,316.98,201.34,05-06 7:30 PM,300,280,125,320,300,2.0801601515743076,'-99034,'-95844,0.7776,0.6195,2026-05-16,2026-05-16,3,0,0.6667,,0.9903,0,1.0333,'-2.888,'-0.08847527,'-0.08620222,0.206,0.3689,0.7633,0.0471,0.4917,7.1947491637,40.81,5.68,0.59156,3.97592
,CLIR,6.7,5.03,1609,11.2,3.24,,5,5,5,2.5,5,0,'-485,'-230,0.8102,3.5556,2026-05-16,2026-08-22,0,0,,,0.4657,,2.1087,'-1.0676,,,1.9032,0,,,,0,32.440000000000005,804.5,,
,CLIX,59.04,60.51,175,62.86,43.92,,56,43,44,43,43,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,'-0.0193662,'-0.04129555,0.3459,0.1235,0.0894,0.7554,0.5388,0.4716900208,99.42999999999999,1.75,,
,CLMT,30.755,30.6,414869,36.94,9.81,05-08 7:00 PM,30,27,5,27,30,17.777780112198325,'-5983800,'-2716679,0.5899,0.5296,2026-05-16,2026-05-16,3548,751,0.4524,0.2929,0.8776,0.2117,2.2026,'-5.6037,'-0.0619499,'-0.07221159,0.512,0.5747,0.3935,0.361,0.7045,1.1100056807,47.43,4.5397,0.53374,3.6174
,CLOU,19.86,19.74,97399,24.32,17.52,,20,12,9,22,17,,'-55674,'-47653,0.1044,0.091,2026-09-19,2026-09-19,1,0,1,,0.6629,0,1.1683,'-1.7516,'-0.16325137,'-0.01718329,0.4419,0.2968,0.5036,0.6657,0.7368,0.3698057186,78.84,10.1956,0.58006,8.799700000000001
,CLOV,2.515,2.42,1718142,3.92,1.58,05-07 4:05 AM,2.5,3,2,2.5,2,38.340900111761826,'-17392910,'-6279880,0.2452,0.0028,2026-05-16,2027-01-16,3956,13847,0.1474,0.8994,0.2582,3.5003,2.7696,'-4.9355,'-0.43079257,'-0.09721768,0.496,0.9165,0.5403,0.0728,0.148,0.1399943193,43.46,0.4455,0.549,0.50116
,CLPT,11.19,11.78,212784,30.1,8.27,,12.5,7.5,5,15,10,9.207226247132862,'-585647,'-172127,0.559,0.4155,2026-05-16,2026-11-21,1814,18,0.7773,0.9444,0.3894,0.0099,3.4024,'-4.2266,'-0.11285814,'-0.1206732,0.834,1.1527,0.8264,0.3151,0.1535,0.8570855267,67.91,0.4233,0.6384000000000001,0.45098000000000005
,CLS,389.13,410.29,863202,420.63,81.88,,400,320,25,370,407.5,11.032966314564295,'-4652909,'-2177057,0.2173,0.0628,2026-06-19,2026-06-19,5450,4751,0.4281,0.4039,0.8621,0.8717,2.1372,'-7.9684,0.02084205,'-0.01915021,0.7319,0.8355,0.8292,0.0138,0.464,21.637145427,39.14,0.4639,0.34112,0.46365999999999996
,CLSK,12.28,12.75,9827895,23.61,7.82,,13,10,7,15,7,22.819968783836536,'-42067104,'-14857225,0.1889,0.05,2026-06-19,2026-06-19,82868,26318,0.2716,0.4553,0.4925,0.3176,2.8314,'-4.265,0.05051276,0.04492427,0.6941,0.9772,0.4678,0.1236,0.312,0.7864230259,52.22,0.3904,0.40499999999999997,0.45855999999999997
,CLSX,16.6,18.24,186532,118.09,7.46,,19,16,2,16,13,,'-22860,'-11051,0.5821,0.5137,2026-05-16,2026-05-16,41,0,0.8049,,0.5527,0,2.0686,'-3.3491,'-0.98118996,'-0.98461775,1.4055,1.9503,0.2787,0.3976,0.1966,2.2453747396,42.93,0.4009,0.39821999999999996,0.46918
,CLSZ,9.64,8.82,45180,26.25,8.34,,9,11,2,13,9,,'-4837,'-1421,0.6108,0.0392,2026-05-16,2026-12-19,0,1,,1,0.156,,3.4039,'-5.783,'-0.12769978,'-0.13176496,1.4718,1.8533,0.6568,0.5313,0.6452,1.0317557281,64.5,1.9809,,
,CLVT,2.62,2.45,1023262,4.77,1.66,04-29 6:00 PM,2.5,2.5,1,2.5,0.5,0,'-340080,'-32175,0.0363,0.0085,2026-06-19,2026-12-19,8,4,0.375,1,0.0546,0.5,10.5697,'-10.3908,'-0.13234597,'-0.09508982,0.6812,0.835,0.2946,0.2302,0.7256,0.1291264281,49.69,0.3591,0.5995199999999998,2.93406
,CLW,14.64,14.58,38607,30.96,12.44,04-29 4:05 AM,15,15,5,15,12.5,73.64569972738813,'-463651,'-45591,0.4332,0.0285,2026-05-16,2026-10-17,3,6,0.6667,1,0.1047,2,10.1698,'-5.793,0.19965364,0.0680798,0.3851,0.401,0.1485,0.0375,0.4837,0.3690323802,68.19,0.5227,,
,CLX,96.78,98.7,831440,143.96,96.58,05-01 4:10 AM,100,130,100,110,100,20.666861366270656,'-4844419,'-6846962,0.5816,0.4257,2026-05-16,2026-10-17,1790,1227,0.3503,0.3301,0.8135,0.6855,0.7075,'-0.4867,'-0.01555087,'-0.01097996,0.316,0.3643,0.9595,0.2078,0.743,2.2695455406,56.05,0.5015,0.64998,0.5157800000000001
,CM,110.4,109.55,187411,110.65,59.91,,115,100,95,115,95,13.077839589121009,'-3594227,'-1735066,0.5557,0.4272,2026-05-16,2026-05-16,74,111,0.5811,0.8468,0.8601,1.5,2.0715,'-3.7315,'-0.16519174,'-0.16254246,0.2334,0.2061,0.443,0.0592,0.3951,1.4251249763,66.79,0.2764,0.69386,1.8040999999999996
,CMBT,13.165,12.85,753825,14.93,7.78,,12.5,12.5,5,15,7.5,22.23987514423199,'-4842169,'-1831137,0.6251,0.3012,2026-05-16,2027-01-16,316,117,0.0886,0.7179,0.3826,0.3703,2.6444,'-4.6529,'-0.1416957,'-0.14961866,0.317,0.4458,0.0735,0.1522,0.6074,0.3615811399,11.600000000000001,4.9169,0.24797999999999995,3.31612
,CMC,69.55,69.1,260789,84.87,43.01,,67.5,75,32.5,75,67.5,5.170831219144836,'-842905,'-643670,0.5146,0.1589,2026-05-16,2026-09-19,56,9,0.2321,0.3333,0.5392,0.1607,1.3095,'-1.9377,'-0.03834172,'-0.03010597,0.3757,0.4152,0.3396,0.1859,0.8629,1.8109145995,79.47999999999999,0.434,0.7056199999999999,0.47412
,CMCL,24.41,25.27,65131,38.75,12.35,,25,25,15,25,22.5,29.15760559459513,'-217928,'-113823,0.1903,0.1321,2026-06-19,2026-06-19,53,9,0.0943,0,0.4448,0.1698,1.9146,'-2.5658,'-0.00284385,'-0.04999324,0.423,0.7401,0.5518,0.227,0.3859,1.1804788866,36.07,0.5612,,
,CMCM,5.41,5.42,6116,9.44,3.65,,5,10,5,7.5,5,0,'-19101,'-34102,0.4164,0.284,2026-06-19,2026-09-19,1,0,0,,0.9673,0,0.5601,'-0.4971,0.65307635,0.46424546,0.4461,0.7985,0.2651,0.0886,0.97,0.273172379,62.739999999999995,30.58,,
,CMCO,16,16.08,79986,24.4,13.31,,15,2.5,5,30,15,21.565723822887577,'-140242,'-312882,0.6221,0.3218,2026-05-16,2026-06-19,7,0,0.7143,,0.7264,0,0.4482,'-2.344,'-0.21553749,'-0.27844045,0.5123,0.5617,0.2893,0.0502,0.291,0.5701026321,72.19,6.8143,0.7935,8.38945
,CMCSA,27.47,27.53,26426247,34.36,24.13,,29,35,30,31,28,27.533875421231553,'-43856781,'-46026875,0.045,0.9544,2026-06-19,2028-01-22,62427,26652,0.0673,0.1235,0.5677,0.4269,0.9529,'-1.0102,0.05211726,'-0.02507423,0.5968,0.3031,0.5154,1,0.6466,0.526689579,61.38,0.442,0.47294,0.41240000000000004
,CMDY,59.44,60.28,23036,61.02,47.64,,65,45,43,65,55,,'-5331,'-162,0.0296,0.0018,2026-07-18,2026-07-18,0,0,,,0.0294,,32.9074,'-565.2033,0.06056572,0.06970418,0.2042,0.2941,0.4219,0.1094,0.6721,1.1190019567,78.41,16.7049,,
,CME,281.89,284.97,1002980,329.16,257.17,,300,230,280,310,280,4.932545123277879,'-4660497,'-5624848,0.0932,0.1462,2026-05-16,2027-01-16,586,344,0.401,0.186,1.1796,0.587,0.8286,'-0.8847,'-0.02838137,'-0.03217276,0.2216,0.2269,0.5248,0.2526,0.749,4.0812783564,35.68,0.5131,0.36118,0.50034
,CMG,33.69,34.21,3870370,58.42,29.75,04-30 4:10 AM,32.5,32.5,32.5,40,27.5,16.3392076060968,'-38712408,'-45021752,0.0751,0.0603,2026-06-19,2026-05-16,11943,13918,0.4379,0.2018,0.8173,1.1654,0.8599,'-0.7336,'-0.0360433,'-0.05006714,0.2968,0.5213,0.8469,0.1517,0.184,1.1256500032,39.23,0.3801,0.37738,0.42110000000000003
,CMI,667,660.56,225485,663.42,282.77,05-05 7:30 PM,700,540,145,700,500,8.538725254331696,'-1317643,'-662592,0.2729,0.1538,2026-06-19,2026-06-19,98,127,0.4592,0.2047,0.8801,1.2959,1.9886,'-6.8154,'-0.09685284,'-0.10748737,0.3897,0.4354,1,0.0932,0.3508,18.1536214101,55.669999999999995,0.5412,0.49336,0.5452600000000001
,CMP,26.54,25.33,99560,27.15,11.88,05-07 4:40 AM,25,27.5,7.5,27.5,17.5,8.221563353121544,'-125611,'-33445,0.0622,0.0775,2026-06-19,2026-12-19,6,0,0,,0.5093,0,3.7557,'-5.7391,0.01855558,'-0.04760168,0.5145,0.5483,0.3861,0.1416,0.4875,0.8766293631,39.17,6.6685,0.28094,3.0738800000000004
,CMPR,83.045,82.05,21203,84,35.21,04-30 4:05 AM,85,90,40,90,70,6.31652957855859,'-47641,'-19130,0.3176,0.0839,2026-07-18,2026-07-18,0,6,,0,0.6948,,2.4904,'-5.6643,'-0.14047166,'-0.16334849,0.3126,0.6379,0.7607,0.0259,0.2429,3.3036479833,66,12.465,,
,CMPS,8.93,9.57,4647017,10.21,2.25,,10,10,7,10,7,70.2435992267473,'-5875819,'-3303727,0.7325,0.4251,2026-05-16,2026-05-16,12534,3554,0.2316,0.4806,0.7194,0.2835,1.7785,'-6.4929,0.06430275,0.09287686,1.3401,0.9055,0.0851,0.1271,0.8714,0.546969324,59.29,0.4695,0.40734000000000004,0.47664
,CMPX,1.78,5.03,1515015,6.88,1.67,,5,6,5,10,5,12.336931210823094,'-3596218,'-1330633,0.9953,0.983,2026-05-16,2026-05-16,5046,1060,0.9911,1,0.3033,0.2101,2.7026,'-3.7251,0.05742092,'-1.00766995,0.7748,2.4772,0.6868,0.0572,0.2308,0.7864871552,73.24000000000001,0.4166,0.67276,2.2169399999999997
,CMRE,16.77,16.51,66491,18.06,6.63,,17,16,4,18,14,77.24875257150957,'-1134214,'-336626,0.0969,0.0345,2026-06-19,2026-06-19,3,9,0.6667,0.1111,0.3193,3,3.3694,'-3.6732,'-0.05189341,'-0.04797493,0.326,0.4148,0.4185,0.0121,0.6379,0.432263334,32.47,6.3934,0.30682,5.55162
,CMS,76.04,76.27,977362,80.36,67.71,04-28 6:30 PM,80,75,40,80,70,16.81328960152404,'-516616,'-99379,0.2274,0.1083,2026-06-19,2026-12-19,11,8,0.6364,0.625,0.2409,0.7273,5.1984,'-4.2439,'-0.34623943,'-0.34015595,0.1678,0.2052,0.3781,0.2762,0.1784,0.9878560879,66.16,0.428,0.65266,0.394
,CMTG,2.685,2.6,74042,3.99,2.05,05-07 5:25 AM,2.5,5,5,5,2.5,0,'-22136,'-39906,0.2045,0.7676,2026-07-18,2026-05-16,0,0,,,1.0845,,0.5547,'-0.5877,2.17443609,1.98094875,0.4795,1.0498,0.3615,0.3403,0.995,0.1722830272,20.91,3.3708,0.4367,1.281625
,CNA,48.01,48.24,88581,50.72,43.29,05-04 6:00 PM,50,50,25,50,43,30.63458660754456,'-763856,'-13230,0.9041,0.7754,2026-05-16,2026-05-16,34,0,0.0294,,0.0465,0,57.7367,'-31.467,'-0.77954145,'-0.69661336,0.1647,0.2126,0.1591,0.095,0.1708,0.6473410339,69.33,2.7722,0.5793,6.03725
,CNBS,27.77,27.47,17854,43.94,13.96,,27,27,15,27,39,,'-16153,'-846,0.8712,0.7511,2026-05-16,2026-05-16,31,0,0.9355,,0.0714,0,19.0934,'-13.5085,'-0.05640829,0.02795248,1.6723,1.0017,0.7249,0.0751,0.4459,1.7368363946,16.99,100.8701,,
,CNC,43.66,41.83,2063733,64.15,25.08,04-28 6:00 PM,40,25,17.5,25,32.5,19.800208704741102,'-19302409,'-6804867,0.0696,0.0149,2026-06-19,2027-01-16,2357,1618,0.5902,0.4499,0.326,0.6865,2.8366,'-12.1527,'-0.09799976,'-0.07166349,0.3633,0.5777,0.7595,0.0709,0.1767,1.525291359,49.309999999999995,0.4185,0.33334,0.4309
,CNH,10.24,10.25,5027150,14.27,9,04-30 6:30 PM,10,15,10,15,10,0,'-3776175,'-1958787,0.0377,0.0131,2027-01-16,2027-01-16,44,69,0.3864,0.4058,0.1887,1.5682,1.9278,'-2.0348,0.01664178,'-0.03479037,0.4964,0.4484,0.5233,0.5546,0.7731,0.2901028846,62.88,0.422,0.62036,2.4159200000000003
,CNI,114.96,114.61,341580,115.12,90.74,04-29 7:30 PM,115,115,55,115,100,33.60233372008258,'-3279086,'-854791,0.3722,0.116,2026-10-17,2026-10-17,329,157,0.1307,0.1338,0.26,0.4772,3.8361,'-8.3355,'-0.11251863,'-0.12298851,0.2017,0.261,0.6132,0.2053,0.3621,1.8881026321,50.61,4.1705,0.4748200000000001,5.31554
,CNK,29.2,28.48,461198,34.01,21.6,05-01 6:30 PM,30,25,16,35,27,17.620112673968407,'-10589248,'-1912884,0.069,0.0409,2026-06-19,2026-06-19,733,143,0.1378,0.3916,0.2479,0.1951,5.5358,'-6.373,0.03308663,0.02382033,0.2976,0.4408,0.5155,0.3003,0.8911,0.7923994193,68.30000000000001,0.4629,0.6671400000000001,0.47664
,CNM,50.34,49.47,687604,67.18,43.96,,50,55,22.5,55,40,2.13324106429583,'-449233,'-114299,0.151,0,2027-01-16,2027-01-16,2,138,0,0.029,0.2275,69,3.9303,'-4.6399,'-0.43253968,'-0.35817104,0.3146,0.3543,0.3595,0.2119,0.0366,1.1063069494,45.42,0.4297,0.48762,0.48804
,CNMD,38.34,38.35,115173,61.08,33.21,04-30 4:05 AM,40,55,20,55,40,11.49389721707973,'-29177,'-71955,0.3932,0.174,2026-08-22,2026-11-21,0,1,,1,2.0118,,0.4055,'-0.2838,'-0.04074816,'-0.03352152,0.4994,0.5668,0.5933,0.1548,0.5102,1.372011614,58.39,5.0793,0.6578200000000001,5.97302
,CNNE,13.11,13.23,156590,21.96,10.46,,12.5,12.5,5,12.5,10,21.875314023342195,'-3426400,'-67930,0.3572,0.1899,2026-08-22,2026-08-22,0,0,,,0.0377,,50.4402,'-52.147,'-0.6200213,'-0.79336947,0.3008,0.4796,0.174,0.2485,0.2353,0.4004991479,39.56,5.568,0.4862800000000001,4.40328
,CNO,44.32,43.71,87446,44.86,35.24,05-01 4:15 AM,44,48,25,48,35,0.41005002249268097,'-143722,'-39615,0.0496,0.0868,2026-06-19,2026-06-19,4,4,0.25,0.25,0.6482,1,3.628,'-2.7278,0.3389011,0.17502238,0.2088,0.2234,0.1358,0,0.824,0.6163487976,46.800000000000004,6.1621,0.4856,3.3006599999999997
,CNOB,29.72,28.5,108040,29.5,21.79,,30,25,15,30,25,0,'-37397,'-2738,0.4447,0.0957,2026-05-16,2026-06-19,0,0,,,0.1522,,13.6585,'-12.5838,'-1.02714764,'-1.17083947,0.2496,0.2716,0.0578,0.2052,0.0287,0.488581708,46.47,0.2841,0.36085,0.32037499999999997
,CNP,42.895,42.46,1658589,44.47,35.46,,45,42,25,45,43,12.26759993658186,'-6546175,'-2334452,0.6153,0.301,2026-05-16,2026-08-22,173,128,0.3815,0.9219,0.3428,0.7399,2.8042,'-4.9271,'-0.22211005,'-0.19118401,0.1759,0.1951,0.2973,0.4559,0.1707,0.5228773591,77.23,0.4868,0.6635,0.44996
